CName,ContextKey,MemberCode,IsRowKey,DefaultValue
A01.01.a_004_010,AIFMReportingInfo.AIFMRecordInfo,FilingType,0,
A01.01.a_005_010,AIFMReportingInfo.AIFMRecordInfo,AIFMContentType,0,
A01.01.a_006_010,AIFMReportingInfo.AIFMRecordInfo,ReportingPeriodStartDate,0,
A01.01.a_007_010,AIFMReportingInfo.AIFMRecordInfo,ReportingPeriodEndDate,0,
A01.01.a_008_010,AIFMReportingInfo.AIFMRecordInfo,ReportingPeriodType,0,
A01.01.a_009_010,AIFMReportingInfo.AIFMRecordInfo,ReportingPeriodYear,0,
A01.01.a_010_010,AIFMReportingInfo.AIFMRecordInfo,AIFMReportingObligationChangeFrequencyCode,0,
A01.01.a_011_010,AIFMReportingInfo.AIFMRecordInfo,AIFMReportingObligationChangeContentsCode,0,
A01.01.a_012_010,AIFMReportingInfo.AIFMRecordInfo,AIFMReportingObligationChangeQuarter,0,
A01.01.a_013_010,AIFMReportingInfo.AIFMRecordInfo,LastReportingFlag,0,
A01.01.a_016_010,AIFMReportingInfo.AIFMRecordInfo,AIFMReportingCode,0,
A01.01.a_017_010,AIFMReportingInfo.AIFMRecordInfo,AIFMJurisdiction,0,
A01.01.a_018_010,AIFMReportingInfo.AIFMRecordInfo,AIFMNationalCode,0,
A01.01.a_019_010,AIFMReportingInfo.AIFMRecordInfo,AIFMName,0,
A01.01.a_020_010,AIFMReportingInfo.AIFMRecordInfo,AIFMEEAFlag,0,
A01.01.a_021_010,AIFMReportingInfo.AIFMRecordInfo,AIFMNoReportingFlag,0,
A01.01.b_999_014,AIFMReportingInfo.AIFMRecordInfo.Assumptions.Assumption,QuestionNumber,0,
A01.01.b_999_015,AIFMReportingInfo.AIFMRecordInfo.Assumptions.Assumption,AssumptionDescription,0,
A01.02_022_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMIdentifier,AIFMIdentifierLEI,0,
A01.02_023_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMIdentifier,AIFMIdentifierBIC,0,
A01.02_024_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMIdentifier.OldAIFMIdentifierNCA,ReportingMemberState,0,
A01.02_025_010,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMIdentifier.OldAIFMIdentifierNCA,AIFMNationalCode,0,
A01.03_001_026_xkey,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket[1],Ranking,1,1
A01.03_001_027,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket.MarketIdentification[1],MarketCodeType,0,
A01.03_001_028,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket.MarketIdentification[1],MarketCode,0,
A01.03_001_029,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket[1],AggregatedValueAmount,0,
A01.03_002_026_xkey,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket[2],Ranking,1,2
A01.03_002_027,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket.MarketIdentification[2],MarketCodeType,0,
A01.03_002_028,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket.MarketIdentification[2],MarketCode,0,
A01.03_002_029,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket[2],AggregatedValueAmount,0,
A01.03_003_026_xkey,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket[3],Ranking,1,3
A01.03_003_027,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket.MarketIdentification[3],MarketCodeType,0,
A01.03_003_028,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket.MarketIdentification[3],MarketCode,0,
A01.03_003_029,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket[3],AggregatedValueAmount,0,
A01.03_004_026_xkey,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket[4],Ranking,1,4
A01.03_004_027,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket.MarketIdentification[4],MarketCodeType,0,
A01.03_004_028,AIFMReportingInfo.AIFMRecordInfo.AIFMCompleteDescription.AIFMPrincipalMarkets.AIFMFivePrincipalMarket.MarketIdentification[4],MarketCode,0,
